AUTHOR,NAME,GENRE,PUBLISHER,ISBN,STOCK
Gary Paulsen,The White Fox Chronicles,CHILDREN,Delacorte Press,0385322542 ,2
Geoffrey Horn,Today's Superstars Sports: Dale Earnhardt jr,CHILDREN,Gareth Stevens,0836861825 ,2
Geoffrey Horn,Today's Superstars Sports: Michelle Wie,CHILDREN,Gareth Stevens,0836861868 ,2
Geoffrey Horn,Today's Superstars Sports: Rafael Nadal,CHILDREN,Gareth Stevens,0836861841 ,2
Gerhard Mueller,Turtles in the Terrarium,ANIMALS,TFH Publications,079380129X ,2
GLEN CRANEY,THE FIRE AND THE LIGHT,FICTION,Brigid~s Fire Press,9780981648477 ,2
GREG TOBIN,SELECTING THE POPE,INSPIRATIONAL,Sterling Publishing,0760740321 ,2
Hal Marcovitz,Ellis Island,CHILDREN,Mason Crest Publishers,1590840313 ,2
Hal Marcovitz,The Constitution,CHILDREN,Mason Crest Publishers,1590840410 ,2
Hal Marcovitz,The Liberty Bell,CHILDREN,Mason Crest Publishers,1590840259 ,2
Hal Marcovitz,The Statue of Liberty,CHILDREN,Mason Crest Publishers,1590840224 ,2
Hal Marcovitz,The White House,CHILDREN,Mason Crest Publishers,1590840240 ,2
Harry S. Truman,Harry S. Truman (Great Americans : a Photobiography),CHILDREN,Ideals Publications,0824940784 ,2
HEATHER ROSS MILLER,CRUSOE'S ISLAND,NOVELS,COASTAL CAROLINA PRESS,1928556043 ,2
Helen Scully,In The Hope of Rising Again,NOVELS,Penguin,1594200254 ,2
Ian Cross,Adventure Golf,SPORTS,Globe Pequot Press,0762737905 ,2
Ian Lloyd,William: The Peoples Prince,BIOGRAPHY,Pavilion,1862055726 ,2
Jack Higgins,Death Run,NOVELS,Putnam Juvenile,0399250816 ,2
Jack Williams,People of the California Missions: Townspeople and Ranchers of the California Mission Frontier,CHILDREN,Rosen/Powerhouse Press,0823962849 ,2
James Burkley Jr,Strikeout Kings: Level 4 Readers,CHILDREN,DK Publishing,078947347x ,2
James Nocito,Found Lives: A Collection of Found Photographs,PHOTOGRAPHY,W Publishing Group,0879056185 ,2
Jan Simoen,What About Anna?,CHILDREN,Walker & Co,0802788084 ,2
Jane Jerrard,Puss in Boots (Fairy tale treasury),CHILDREN,Publications International,0785300260 ,2
Janet Evanovich,Wicked Appetite,NOVELS,St. Martin~s Press,0312652917 ,2
Janice Dickinson,Everything About Me is Fake...and I'm Perfect,NOVELS,Regan Books,006055469x ,2
Janice Maynard,Suite Fantasy,ROMANCE,Signet,0739460234 ,2
Jason Wright,The Cross Gardener,NOVELS,Berkley Publishing Group,0425233286 ,2
Jay Williams,Petronella,CHILDREN,Moon Mountain Publishing,0967792916 ,2
Jayne Ann Krentz,Fired Up: Book One of the Dreamlight Trilogy,ACTION,21st Century Books,0399155961 ,2
Jeannette Rankin,Bright Star in the Big Sky,BIOGRAPHY,Falcon,1560442654 ,2
Jeff Foxworthy,There's No Place Like A Mobile Home For the Holidays includes CD,HUMOR,Rutledge Hill Press,1401601944 ,2
Jeff Washburn,Tales from Indiana High School Basketball,SPORTS,Sports Publishing,1582614121 ,2
Jermaine Dupri,Young  Rich and Dangerous: The Making of a Music Mogul,BIOGRAPHY,Atria Books,0743299809 ,2
Jillian Harker,Oakey: A Goodnight Kiss,CHILDREN,Parragon Publishing,1407503448 ,2
Jim Wyatt,Tales from the Titans Sideline,SPORTS,Sports Publishing,1582616183 ,2
Joanna Smith Rakoff,A Fortunate Age: A Novel,NOVELS,Scribner,1416590773 ,2
John Elway,Elway,SPORTS,Benchmark Pr,1892049007 ,2
John Lescroart,Betrayal: A Novel,NOVELS,Dutton Books,0525950397 ,2
John Lescroart,Treasure Hunt (Wyatt Hunt Novels),NOVELS,21st Century Books,052595144X ,2
John McIntyre,Tiburones,SCIENCE,Parragon Publishing,1407504742 ,2
John Sandford ,Rough Country (A Virgil Flowers Novel),NOVELS,G.P. Putman~s Sons,0399155988 ,2
Joseph Bannon Jr,Burning Up the Track,SPORTS,Sports Publishing,1582615020 ,2
Joseph Ferry,The American Flag,CHILDREN,Mason Crest Publishers,1590840267 ,2
Judy Cox,Now We Can Have A Wedding!,CHILDREN,Holiday House,082341342x ,2
Julia Van Nutt,A Cobtown Christmas : From the Diaries of Lucky Hart,CHILDREN,Doubleday Books for Young Readers,0385325568 ,2
Julie Andrews Edwards,Thanks to You: Wisdom from Mother & Child (Julie Andrews Collection) ,CHILDREN,Harper Collins,0061240028 ,2
Julie Sharp,Oliver Cornwell,CHILDREN,Hunt & Thorpe,1856083527 ,2
Karen Gray Ruelle,Spookier Than a Ghost: A Harry & Emily Adventure ,CHILDREN,Holiday House,0823416674 ,2
Karen MacNeil,Wine Food & Friends,COOKING,Oxmoor House,0848731220 ,2
Katherine Tarbox,Katie.Com,CHILDREN,Dutton Books,0752841343 ,2
Kathryn Cushman,A Promise To Remember,INSPIRATIONAL,Bethany House,0739490370 ,2
Kazuo Ishiguro ,Nocturnes: Five Stories of Music and Nightfall ,NOVELS,Knopf,0307271021 ,2
Kelly Simmons,Standing Still: A Novel ,NOVELS,Atria Books,0743289722 ,2
Kent Haruf,Eventide,NOVELS,Alfred A. Knopf,0375411585 ,2
Kristin Balouch,Listen to the Storyteller: A Trio of Tales from Around the World,CHILDREN,Viking Books,067088054x ,2
L.M. Montgomery,Anne of Green Gables,CLASSICS,Dalmatian Press,1403705917 ,2
Laura Melmed,Eight Winter Nights: A Family Hanukkah Book,CHILDREN,Chronicle Books,081185552X ,2
Laura Schlessinger , In Praise of Stay-at-Home Moms ,ACTION,21st Century Books,0061690295 ,2
Laurie Lawlor,The Two Loves of Will Shakespeare,CHILDREN,Holiday House,0823419010 ,2
Leisha Kelly,Till Morning is Night,INSPIRATIONAL,Revell,0800718879 ,2
Leo Mazzone,Tales from the Braves Mound,SPORTS,Sports Publishing,1582616744 ,2
Leslie Kimmelman,Hooray! It's Passover,CHILDREN,Harper Collins,0060246731 ,2
Lisa Scottoline,Think Twice,NOVELS,NARAYANA,0312380755 ,2
Lisa Swerling,Falling in Love,INSPIRATIONAL,Time Warner Group,193172217x ,2
Lisi Harrison,Cliquetionary: The Wit and Wisdom of the Clique,CHILDREN,21st Century Books,0316070653 ,2
Liz Rettig,My Desperate Love Diary,CHILDREN,Holiday House,0823420337 ,2
Lloyd Johnson,Baseballs Book Of Firsts,SPORTS,21st Century Books,1572150122 ,2
Lolly Winston,Happiness Sold Separately,NOVELS,Warner Books,0446580767 ,2
Louisa May Alcott,The Quiet Little Woman,CHILDREN,Honor Books,1562926160 ,2
Louise Albert,Less Than Perfect,CHILDREN,Holiday House,0823416887 ,2
Love Food,All in One,COOKING,Parragon Publishing,1405491949 ,2
Lowell Ackerman,Dr.Ackerman's Book of Dalmatians (BB Dog),ANIMALS,TFH Publications,0793825601 ,2
Lowell Ackerman,Skin and Coat Care for Your Cat,ANIMALS,TFH Publications,079380633X ,2
 Shaquille O Neal,Walk Like You Have Somewhere To Go,INSPIRATIONAL,Thomas Nelson,159555307x ,2
Lucy Jane Bledsoe,Tracks in the Snow,CHILDREN,Holiday House,0823413098 ,2
Lynn Stone,How Do Animals Use Their Voices and Sound?,ANIMALS,Rourke ,1600445071 ,2
Lynne Reid Banks,The Key to the Indian,CHILDREN,Avon,0380977176 ,2
M. Christina Butler,One Winter's Day,CHILDREN,Good Books,1561485322 ,2
Maggie Brown,My First Book of Questions and Answers Long Ago,CHILDREN,Parragon Publishing,0752575791 ,2
Marc Gobe,Citizen Brand,BUSINESS,Allworth Press,158115240x ,2
Marcella Hazan,Amarcord: Marcella Remembers,BIOGRAPHY,Gotham,1592403883 ,2
Margaret I. Rostkowski,Moon Dancer,ADVENTURE,Browndeer Press,0152766383 ,2
Mark Olsen,The Watchers,INSPIRATIONAL,Bethany House,0764228188 ,2
Mark Poirier,Unsung Heros of American Industry,BUSINESS,Hyperion ,0786868279 ,2
Martina Selway,Don't Forget to Write,CHILDREN,Ideals Childrens Books,0824985435 ,2
Marty A. Bullis,The Miraculous Journey,INSPIRATIONAL,RegaL Books,0830742786 ,2
Mary Heather,Appearing Tonight! ,CHILDREN,Farrar Straus & Giroux,0374304556 ,2
Mary Schback,Princess from Another Planet,CHILDREN,Holiday House,0823418472 ,2
Mary Yukari Waters,The Favorites,NOVELS,Scribner,1416561072 ,2
MaryJanice Davidson,Undead and Unworthy,NOVELS,Berkley Trade,0425221628 ,2
Mattie Stepanek,Loving Through Heartsongs,POETRY,Hyperion ,0786869461 ,2
Max Lucado,God Thinks You're Wonderful Mom,INSPIRATIONAL,Thomas Nelson,1404105069 ,2
Michael Crichton ,Pirate Latitudes,NOVELS,Harper Collins,0061929379 ,2
Michael Ferraro,Numbelievable: The Dramatic Stories Behind the Most Memorable Numbers in Sports History,SPORTS,Triumph Books,1572439904 ,2
Michael J. Daley ,Space Station Rat ,CHILDREN,Holiday House,0823418669 ,2
Michael Phelps,No Limits The Will to Succeed,SPORTS,Free Press,1439130728 ,2
Michael Teitelbaum,Fit for the Title: Building a WCW Champion: Level 4 Readers,CHILDREN,DK Publishing,0789473526 ,2
Michaela Miller,What If We Do Nothing? The Obesity Epidemic,CHILDREN,World Almanac,083687756x ,2
Michelle Medlock Adams,MY FUNNY VALENTINE,CHILDREN,Ideals Childrens Books,0824954874 ,2
Nancy Atherton,Aunt Dimity Down Under ,NOVELS,Viking Press,067002144X ,2
Nancy Novogrod,Travel + Leisure's Unexpected France,TRAVEL,DK Publishing,0756624975 ,2
Nancy Novogrod,Travel + Leisure's Unexpected Italy,TRAVEL,DK Publishing,0756624967 ,2
Nancy Springer,Blood Trail,CHILDREN,Holiday House,0823417239 ,2
Naomi Kojima,Singing Shijimi Clams,CHILDREN,Kane/Miller Book Pub,193360512x ,2
Nathan McCall,Them,NOVELS,21st Century Books,1416549153 ,2
National Hot Rod Association,The Fast Lane : The History of NHRA Drag Racing,SPORTS,Regan Books,0060394056 ,2
Neil Morris,What If We Do Nothing? Global Warming,CHILDREN,World Almanac,0836877551 ,2
Nick Page,Read with Me: The Runaway Son,CHILDREN,Make Believe Ideas LTD,1846102502 ,2
Nick page,The Loaves and Fishes (Read with me) ,CHILDREN,21st Century Books,1846102499 ,2
Nick Page,Noah and the Ark (Read With Me) ,CHILDREN,Make Believe Ideas LTD,1846102529 ,2
Nick Page,Read with Me: David and Goliah,CHILDREN,Make Believe Ideas LTD,1846102472 ,2
Nick Page,Read with Me: the Good Samaritan,CHILDREN,Make Believe Ideas LTD,1846102480 ,2
Nick Page,Read with Me: Jonah The Moaner,INSPIRATIONAL,Make Believe Ideas LTD,1846102510 ,2
Nicky Singer,The Innocent's Story,CHILDREN,Holiday House,0823420825 ,2
"Nicole ""Snooki"" Polizzi",A Shore Thing,ACTION,21st Century Books,1451623747 ,2
Nikki Gaag,World in Focus: Focus on Afghanistan,CHILDREN,World Almanac,0836867483 ,2
Nina Filipek,Fun to Learn: Opposites,CHILDREN,21st Century Books,1905709846 ,2
Nina Filipek,Fun Way to Learn: Counting,CHILDREN,Book Studio,190570982x ,2
Nina Filipek,Fun Way to Learn:Early Words,CHILDREN,Book Studio,1905709838 ,2
Nina Filipek,Fun Way to Learn:Time,CHILDREN,Book Studio,1905709862 ,2
Nora  Roberts,Chesapeake Blue (Quinn Brothers),NOVELS,G.P. Putman~s Sons,0399149392 ,2
Oliver August , Inside the Red Mansion: On the Trail of China's Most Wanted Man,HISTORY,Houghton Mifflin Co,0618714987 ,2
Pamela Smith Hill,The Last Grail Keeper ,CHILDREN,Holiday House,0823415740 ,2
Patricia Cornwell,The Scarpetta Factor,NOVELS,Putnam Pub Group,0399156399 ,2
